,Movie Title,Total Gross,Release Date,Production Company,Year
0,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",Dec 15,"Walt Disney Studios Motion Pictures

",2017
1,Beauty and the Beast,"$504,014,165",Mar 17,"Walt Disney Studios Motion Pictures

",2017
2,Wonder Woman,"$412,563,408",Jun 2,"Warner Bros.

",2017
3,Guardians of the Galaxy Vol. 2,"$389,813,101",May 5,"Walt Disney Studios Motion Pictures

",2017
4,Spider-Man: Homecoming,"$334,201,140",Jul 7,"Sony Pictures Releasing

",2017
5,It,"$327,481,748",Sep 8,"Warner Bros.

",2017
6,Thor: Ragnarok,"$315,058,289",Nov 3,"Walt Disney Studios Motion Pictures

",2017
7,Despicable Me 3,"$264,624,300",Jun 30,"Universal Pictures

",2017
8,Logan,"$226,277,068",Mar 3,"Twentieth Century Fox

",2017
9,The Fate of the Furious,"$226,008,385",Apr 14,"Universal Pictures

",2017
10,Justice League,"$229,024,295",Nov 17,"Warner Bros.

",2017
11,Dunkirk,"$188,045,546",Jul 21,"Warner Bros.

",2017
12,Coco,"$209,726,015",Nov 22,"Walt Disney Studios Motion Pictures

",2017
13,The Lego Batman Movie,"$175,750,384",Feb 10,"Warner Bros.

",2017
14,Get Out,"$176,040,665",Feb 24,"Universal Pictures

",2017
15,The Boss Baby,"$175,003,033",Mar 31,"Twentieth Century Fox

",2017
16,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876",May 26,"Walt Disney Studios Motion Pictures

",2017
17,Jumanji: Welcome to the Jungle,"$404,515,480",Dec 20,"Sony Pictures Releasing

",2017
18,Kong: Skull Island,"$168,052,812",Mar 10,"Warner Bros.

",2017
19,Hidden Figures,"$169,607,287",Dec 25,"Twentieth Century Fox

",2017
20,Cars 3,"$152,901,115",Jun 16,"Walt Disney Studios Motion Pictures

",2017
21,War for the Planet of the Apes,"$146,880,162",Jul 14,"Twentieth Century Fox

",2017
22,Split,"$138,291,365",Jan 20,"Universal Pictures

",2017
23,Transformers: The Last Knight,"$130,168,683",Jun 21,"Paramount Pictures

",2017
