Title,Production Company,Genre,Runtime,Release Date,Year,Budget,Opening Amount,Total Gross,Revenue
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,Action,121.0,Aug 1,2014,170000000,94320883,333176600,773328629
The Hunger Games: Mockingjay - Part 1,Lionsgate,Science Fiction,123.0,Nov 21,2014,125000000,121897634,337135885,752100229
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,Action,136.0,Apr 4,2014,170000000,95023721,259766572,714766572
The Lego Movie,Warner Bros.,Adventure,100.0,Feb 7,2014,60000000,69050279,257760692,469160692
Transformers: Age of Extinction,Paramount Pictures,Science Fiction,165.0,Jun 27,2014,210000000,100038390,245439076,1091405097
Maleficent,Walt Disney Studios Motion Pictures,Fantasy,97.0,May 30,2014,180000000,69431298,241410378,758539785
X-Men: Days of Future Past,Twentieth Century Fox,Action,131.0,May 23,2014,250000000,90823660,233921534,747862775
Dawn of the Planet of the Apes,Twentieth Century Fox,Science Fiction,130.0,Jul 11,2014,170000000,72611427,208545589,710644566
Big Hero 6,Walt Disney Studios Motion Pictures,Adventure,102.0,Nov 7,2014,165000000,56215889,222527828,652105443
The Amazing Spider-Man 2,Sony Pictures Releasing,Action,142.0,May 2,2014,200000000,91608337,202853933,705717432
Godzilla,Warner Bros.,Science Fiction,139.0,May 16,2014,130000000,93188384,200676069,379014294
Godzilla,Sony Pictures Releasing,Science Fiction,139.0,May 16,2014,130000000,44047541,200676069,379014294
Godzilla,Warner Bros.,Thriller,96.0,May 16,2014,1000000,93188384,200676069,0
Godzilla,Sony Pictures Releasing,Thriller,96.0,May 16,2014,1000000,44047541,200676069,0
Godzilla,Warner Bros.,Action,123.0,May 16,2014,160000000,93188384,200676069,529076069
Godzilla,Sony Pictures Releasing,Action,123.0,May 16,2014,160000000,44047541,200676069,529076069
22 Jump Street,Sony Pictures Releasing,Crime,112.0,Jun 13,2014,50000000,57071445,191719337,188441614
Teenage Mutant Ninja Turtles,Paramount Pictures,Science Fiction,93.0,Aug 8,2014,13500000,65575105,191204754,202000000
Teenage Mutant Ninja Turtles,New Line Cinema,Science Fiction,93.0,Aug 8,2014,13500000,25398367,191204754,202000000
Teenage Mutant Ninja Turtles,Paramount Pictures,Science Fiction,101.0,Aug 8,2014,125000000,65575105,191204754,477200000
Teenage Mutant Ninja Turtles,New Line Cinema,Science Fiction,101.0,Aug 8,2014,125000000,25398367,191204754,477200000
The Hobbit: The Battle of the Five Armies,Warner Bros.,Action,144.0,Dec 17,2014,250000000,54724334,255119788,956019788
Interstellar,Paramount Pictures,Adventure,169.0,Nov 5,2014,165000000,47510360,188020017,675120017
How to Train Your Dragon 2,Twentieth Century Fox,Fantasy,102.0,Jun 13,2014,145000000,49451322,177002924,609123048
Gone Girl,Twentieth Century Fox,Mystery,145.0,Oct 3,2014,61000000,37513109,167767189,369330363
Divergent,Lionsgate,Adventure,139.0,Mar 21,2014,85000000,54607747,150947895,288747895
Neighbors,Universal Pictures,Comedy,94.0,May 9,2014,8500000,49033915,150157400,29916207
Neighbors,Universal Pictures,Comedy,96.0,May 9,2014,18000000,49033915,150157400,268157400
Ride Along,Universal Pictures,Action,99.0,Jan 17,2014,25000000,41516170,134938200,153997819
Rio 2,Twentieth Century Fox,Animation,102.0,Apr 11,2014,103000000,39327869,131538435,500188435
Lucy,Universal Pictures,Action,89.0,Jul 25,2014,40000000,43899340,126663600,126546825
The Fault in Our Stars,Twentieth Century Fox,Romance,125.0,Jun 6,2014,12000000,48002523,124872350,307166834
Mr. Peabody & Sherman,Twentieth Century Fox,Animation,92.0,Mar 7,2014,145000000,32207057,111506430,272912430
300: Rise of an Empire,Warner Bros.,Action,102.0,Mar 7,2014,110000000,45038460,106580051,337580051
The Maze Runner,Twentieth Century Fox,Action,113.0,Sep 19,2014,34000000,32512804,102427862,348319861
Noah,Paramount Pictures,Drama,139.0,Mar 28,2014,125000000,43720472,101200044,362637473
The Equalizer,Sony Pictures Releasing,Thriller,132.0,Sep 26,2014,55000000,34137828,101530738,192330738
Edge of Tomorrow,Warner Bros.,Action,113.0,Jun 6,2014,178000000,28760246,100206256,370541256
Non-Stop,Universal Pictures,Action,106.0,Feb 28,2014,50000000,28875635,92168600,222809600
Fury,Sony Pictures Releasing,War,135.0,Oct 17,2014,68000000,23702421,85817906,211817906
Dumb and Dumber To,Universal Pictures,Comedy,110.0,Nov 14,2014,40000000,36111775,86208010,169837010
Tammy,Warner Bros.,Comedy,97.0,Jul 2,2014,20000000,21577049,84525432,100525432
Annabelle,Warner Bros.,Horror,99.0,Oct 3,2014,6500000,37134255,84273813,255273813
The Other Woman,Twentieth Century Fox,Drama,98.0,Apr 25,2014,30000000,24763752,83911193,102000000
The Other Woman,Twentieth Century Fox,Comedy,109.0,Apr 25,2014,40000000,24763752,83911193,196781193
The Monuments Men,Sony Pictures Releasing,War,118.0,Feb 7,2014,70000000,22003433,78031620,154984035
Penguins of Madagascar,Twentieth Century Fox,Family,92.0,Nov 26,2014,132000000,25447444,83850911,373552094
Hercules,Paramount Pictures,Animation,93.0,Jul 25,2014,85000000,29800263,72688614,252712101
Hercules,Paramount Pictures,Action,99.0,Jul 25,2014,100000000,29800263,72688614,243400000
The Purge: Anarchy,Universal Pictures,Horror,104.0,Jul 18,2014,9000000,29816675,71962800,108782847
Think Like a Man Too,Screen Gems,Comedy,105.0,Jun 20,2014,24000000,29241911,65182182,70181428
Into the Woods,Walt Disney Studios Motion Pictures,Fantasy,125.0,Dec 25,2014,50000000,31051923,128002372,212902372
Unbroken,Universal Pictures,Drama,137.0,Dec 25,2014,65000000,30621445,115637895,163442937
Son of God,Twentieth Century Fox,Drama,138.0,Feb 28,2014,22000000,25601865,59700064,67800064
RoboCop,Sony Pictures Releasing,Action,102.0,Feb 12,2014,13000000,21681430,58607007,53000000
RoboCop,Sony Pictures Releasing,Action,102.0,Feb 12,2014,120000000,21681430,58607007,242688965
The Hobbit: The Desolation of Smaug,Warner Bros.,Adventure,161.0,Dec 13,2014,250000000,73645197,258366855,958400000
Dracula Untold,Universal Pictures,Horror,92.0,Oct 10,2014,70000000,23514615,56280355,215529201
Exodus: Gods and Kings,Twentieth Century Fox,Adventure,150.0,Dec 12,2014,140000000,24115934,65014513,268031828
No Good Deed,Screen Gems,Action,97.0,Sep 12,2014,12000000,24250283,52543632,0
No Good Deed,Screen Gems,Crime,83.0,Sep 12,2014,13200000,24250283,52543632,53830415
Ouija,Universal Pictures,Horror,89.0,Oct 24,2014,5000000,19875995,50856010,103590271
About Last Night,Screen Gems,Comedy,100.0,Feb 14,2014,12500000,25649011,48637684,49002684
Anchorman 2: The Legend Continues,Paramount Pictures,Comedy,119.0,Dec 18,2014,50000000,26232425,125168368,173649015
The Hunger Games: Catching Fire,Lionsgate,Adventure,146.0,Nov 22,2014,130000000,158074286,424668047,847423452
Gravity,Warner Bros.,Science Fiction,91.0,Oct 4,2014,105000000,55785112,274092705,716392705
Thor: The Dark World,Walt Disney Studios Motion Pictures,Action,112.0,Nov 8,2014,170000000,85737841,206362140,644571402
Cloudy with a Chance of Meatballs 2,Sony Pictures Releasing,Animation,95.0,Sep 27,2014,78000000,34017930,119793567,248384621
Captain Phillips,Sony Pictures Releasing,Action,134.0,Oct 11,2014,55000000,25718314,107100855,95000000
Bad Grandpa,Paramount Pictures,Comedy,92.0,Oct 25,2014,15000000,32055177,102003019,151831537
